Date,COFORGE.NS,INFY.NS,LTIM.NS,PERSISTENT.NS,TCS.NS,^CNXIT,^NSEI
2025-02-18,1538.449951171875,1826.25439453125,5617.818359375,5797.25,3839.076904296875,41464.3515625,22945.30078125
2025-02-19,1554.9300537109375,1785.6754150390625,5421.09619140625,5899.7998046875,3750.761962890625,40924.25,22932.900390625
2025-02-20,1558.6700439453125,1799.8262939453125,5346.9169921875,5917.89990234375,3746.103271484375,40865.94921875,22913.150390625
2025-02-21,1499.239990234375,1789.8170166015625,5251.03369140625,5710.2998046875,3752.645263671875,40544.55078125,22795.900390625
2025-02-24,1525.6800537109375,1739.623291015625,5002.23291015625,5639.7998046875,3643.218017578125,39446.6015625,22553.349609375
2025-02-25,1526.75,1743.17333984375,4918.73779296875,5508.10009765625,3597.573486328125,39131.30078125,22547.55078125
2025-02-27,1497.800048828125,1739.820556640625,4834.8955078125,5473.25,3580.723388671875,38946.6484375,22545.05078125
2025-02-28,1472.4300537109375,1664.2833251953125,4624.150390625,5303.89990234375,3452.5625,37318.30078125,22124.69921875
2025-03-03,1471.4100341796875,1684.893310546875,4790.89306640625,5292.5498046875,3462.276123046875,37614.44921875,22119.30078125
2025-03-04,1442.47998046875,1664.8751220703125,4643.02978515625,5153.0,3500.9326171875,37276.94921875,22082.650390625
2025-03-05,1562.8399658203125,1687.753173828125,4730.73681640625,5391.10009765625,3515.80029296875,38072.30078125,22337.30078125
2025-03-06,1525.030029296875,1692.042724609375,4779.892578125,5303.25,3569.869873046875,38145.30078125,22544.69921875
2025-03-07,1541.449951171875,1662.60693359375,4679.64892578125,5278.7998046875,3579.385009765625,37820.44921875,22552.5
2025-03-10,1506.9100341796875,1677.842529296875,4629.10546875,5167.0,3558.02490234375,37644.3984375,22460.30078125
2025-03-11,1526.4200439453125,1638.54541015625,4612.75341796875,5239.9501953125,3543.801513671875,37400.1015625,22497.900390625
2025-03-12,1480.06005859375,1568.777099609375,4445.71337890625,5185.2001953125,3475.31005859375,36310.6484375,22470.5
2025-03-13,1458.449951171875,1557.9296875,4427.03173828125,5125.75,3480.117431640625,36122.5,22397.19921875
2025-03-17,1473.010009765625,1567.98828125,4320.74267578125,5167.2998046875,3466.885009765625,36137.19921875,22508.75
2025-03-18,1473.010009765625,1567.98828125,4320.74267578125,5167.2998046875,3466.885009765625,36619.3515625,22834.30078125
2025-03-19,1510.0899658203125,1564.536865234375,4326.34228515625,5280.60009765625,3466.29052734375,36223.5,22907.599609375
2025-03-20,1515.6600341796875,1593.134521484375,4381.54296875,5194.0498046875,3531.75830078125,36676.6484375,23190.650390625
2025-03-21,1549.3599853515625,1570.45361328125,4479.75537109375,5275.5498046875,3546.576904296875,36702.80078125,23350.400390625
2025-03-24,1553.9100341796875,1570.6507568359375,4579.00830078125,5421.2998046875,3596.978759765625,37217.05078125,23658.349609375
2025-03-25,1591.6400146484375,1605.8553466796875,4565.1337890625,5558.2998046875,3625.525146484375,37706.8984375,23668.650390625
2025-03-26,1605.43994140625,1577.2578125,4578.3642578125,5517.0,3603.7685546875,37336.69921875,23486.849609375
2025-03-27,1621.52001953125,1581.301025390625,4614.1904296875,5641.4501953125,3619.03271484375,37548.30078125,23591.94921875
2025-03-28,1621.8399658203125,1548.857421875,4451.11474609375,5513.75,3574.379638671875,36886.1484375,23519.349609375
2025-04-01,1556.1600341796875,1505.3199462890625,4386.94482421875,5211.5498046875,3519.517333984375,35980.6484375,23165.69921875
2025-04-02,1552.31005859375,1528.641845703125,4459.587890625,5317.5,3512.7275390625,36283.5,23332.349609375
2025-04-03,1431.47998046875,1475.7362060546875,4303.05322265625,4793.35009765625,3373.16796875,34757.25,23250.099609375
2025-04-04,1321.5799560546875,1431.508544921875,4099.19580078125,4609.9501953125,3270.33203125,33511.44921875,22904.44921875
2025-04-07,1268.1400146484375,1377.3702392578125,4020.80419921875,4573.5498046875,3245.20556640625,32668.80078125,22161.599609375
2025-04-08,1294.52001953125,1408.9755859375,4138.44091796875,4595.2998046875,3263.93896484375,33244.3984375,22535.849609375
2025-04-09,1264.72998046875,1384.2237548828125,4071.050048828125,4402.75,3217.997314453125,32517.349609375,22399.150390625
2025-04-11,1263.3299560546875,1389.89404296875,4202.80859375,4544.60009765625,3203.0302734375,32740.849609375,22828.55078125
2025-04-15,1293.199951171875,1406.21435546875,4278.9208984375,4716.0,3219.583251953125,33275.30078125,23328.55078125
2025-04-16,1281.5999755859375,1393.493408203125,4237.99072265625,4705.5,3244.957763671875,33295.5,23437.19921875
2025-04-17,1320.0,1399.8045654296875,4154.34716796875,4836.0,3269.83642578125,33372.3515625,23851.650390625
2025-04-21,1387.5999755859375,1430.8675537109375,4258.90185546875,4900.5,3292.336669921875,34135.05078125,24125.55078125
2025-04-22,1391.199951171875,1403.058837890625,4281.69580078125,4961.0,3285.199951171875,33941.05078125,24167.25
2025-04-23,1478.4000244140625,1454.4359130859375,4496.05859375,5163.5,3382.931396484375,35414.6484375,24328.94921875
2025-04-24,1450.199951171875,1450.9844970703125,4493.18408203125,5156.5,3371.6318359375,35307.1015625,24246.69921875
2025-04-25,1478.0,1459.662353515625,4458.001953125,5273.5,3417.623046875,35562.25,24039.349609375
2025-04-28,1475.5,1461.5360107421875,4446.50634765625,5287.0,3413.16259765625,35482.94921875,24328.5
2025-04-29,1497.0,1476.722412109375,4556.908203125,5404.0,3441.9072265625,35920.3984375,24335.94921875
2025-04-30,1461.0,1479.2862548828125,4545.412109375,5321.5,3423.272705078125,35794.94921875,24334.19921875
2025-05-02,1475.0999755859375,1485.991943359375,4531.93359375,5406.5,3400.772705078125,35891.8515625,24346.69921875
2025-05-05,1499.300048828125,1487.6683349609375,4579.80126953125,5533.0,3423.867431640625,35991.25,24461.150390625
2025-05-06,1485.199951171875,1490.528076171875,4495.958984375,5425.0,3429.517333984375,35869.19921875,24379.599609375
2025-05-07,1520.0,1487.37255859375,4518.2578125,5504.0,3414.74853515625,35920.30078125,24414.400390625
